recording,filename,clip.onset,segment.num
M-F01-C01,M-F01-C01_110533_014546.eaf,110533,1
M-F01-C01,M-F01-C01_111045_015058.eaf,111045,2
M-F01-C01,M-F01-C01_144301_052314.eaf,144301,3
M-F01-C01,M-F01-C01_150759_054812.eaf,150759,4
M-F01-C01,M-F01-C01_160142_064155.eaf,160142,5
M-F01-C01,M-F01-C01_165514_073527.eaf,165514,6
M-F01-C01,M-F01-C01_171958_080011.eaf,171958,7
M-F01-C01,M-F01-C01_173603_081616.eaf,173603,8
M-F01-C01,M-F01-C01_174416_082429.eaf,174416,9
M-F01-C02,M-F01-C02_120345_012525.eaf,120345,1
M-F01-C02,M-F01-C02_120931_013111.eaf,120931,2
M-F01-C02,M-F01-C02_142333_034513.eaf,142333,3
M-F01-C02,M-F01-C02_142951_035131.eaf,142951,4
M-F01-C02,M-F01-C02_145419_041559.eaf,145419,5
M-F01-C02,M-F01-C02_152605_044745.eaf,152605,6
M-F01-C02,M-F01-C02_155906_052046.eaf,155906,7
M-F01-C02,M-F01-C02_164458_060638.eaf,164458,8
M-F01-C02,M-F01-C02_184246_080426.eaf,184246,9
M-F02-C01,M-F02-C01_100143_004505.eaf,100143,1
M-F02-C01,M-F02-C01_103333_011655.eaf,103333,2
M-F02-C01,M-F02-C01_110319_014641.eaf,110319,3
M-F02-C01,M-F02-C01_111046_015408.eaf,111046,4
M-F02-C01,M-F02-C01_134350_042712.eaf,134350,5
M-F02-C01,M-F02-C01_135824_044146.eaf,135824,6
M-F02-C01,M-F02-C01_140330_044652.eaf,140330,7
M-F02-C01,M-F02-C01_143252_051614.eaf,143252,8
M-F02-C01,M-F02-C01_173007_081329.eaf,173007,9
M-F04-C01,M-F04-C01_083650_002856.eaf,083650,1
M-F04-C01,M-F04-C01_085303_004509.eaf,085303,2
M-F04-C01,M-F04-C01_100142_015348.eaf,100142,3
M-F04-C01,M-F04-C01_101449_020655.eaf,101449,4
M-F04-C01,M-F04-C01_131030_050236.eaf,131030,5
M-F04-C01,M-F04-C01_134058_053304.eaf,134058,6
M-F04-C01,M-F04-C01_135153_054359.eaf,135153,7
M-F04-C01,M-F04-C01_164037_083243.eaf,164037,8
M-F04-C01,M-F04-C01_171020_090226.eaf,171020,9
M-F04-C02,M-F04-C02_090445_010251.eaf,090445,1
M-F04-C02,M-F04-C02_100337_020143.eaf,100337,2
M-F04-C02,M-F04-C02_104037_023843.eaf,104037,3
M-F04-C02,M-F04-C02_111257_031103.eaf,111257,4
M-F04-C02,M-F04-C02_112815_032621.eaf,112815,5
M-F04-C02,M-F04-C02_115930_035736.eaf,115930,6
M-F04-C02,M-F04-C02_123942_043748.eaf,123942,7
M-F04-C02,M-F04-C02_125406_045212.eaf,125406,8
M-F04-C02,M-F04-C02_132109_051915.eaf,132109,9
M-F05-C02,M-F05-C02_085928_004633.eaf,085928,1
M-F05-C02,M-F05-C02_112154_030859.eaf,112154,2
M-F05-C02,M-F05-C02_122907_041612.eaf,122907,3
M-F05-C02,M-F05-C02_124959_043704.eaf,124959,4
M-F05-C02,M-F05-C02_142835_061540.eaf,142835,5
M-F05-C02,M-F05-C02_152106_070811.eaf,152106,6
M-F05-C02,M-F05-C02_153454_072159.eaf,153454,7
M-F05-C02,M-F05-C02_170545_085250.eaf,170545,8
M-F05-C02,M-F05-C02_173203_091908.eaf,173203,9
M-F06-C01,M-F06-C01_084144_001751.eaf,084144,1
M-F06-C01,M-F06-C01_084750_002357.eaf,084750,2
M-F06-C01,M-F06-C01_093312_010919.eaf,093312,3
M-F06-C01,M-F06-C01_094441_012048.eaf,094441,4
M-F06-C01,M-F06-C01_110354_024001.eaf,110354,5
M-F06-C01,M-F06-C01_120914_034521.eaf,120914,6
M-F06-C01,M-F06-C01_122235_035842.eaf,122235,7
M-F06-C01,M-F06-C01_150504_064111.eaf,150504,8
M-F06-C01,M-F06-C01_160050_073657.eaf,160050,9
M-F07-C01,M-F07-C01_091203_021508.eaf,091203,1
M-F07-C01,M-F07-C01_104408_034713.eaf,104408,2
M-F07-C01,M-F07-C01_120623_050928.eaf,120623,3
M-F07-C01,M-F07-C01_123748_054053.eaf,123748,4
M-F07-C01,M-F07-C01_133253_063558.eaf,133253,5
M-F07-C01,M-F07-C01_165439_095744.eaf,165439,6
M-F07-C01,M-F07-C01_173327_103632.eaf,173327,7
M-F07-C01,M-F07-C01_180323_110628.eaf,180323,8
M-F07-C01,M-F07-C01_180928_111233.eaf,180928,9
M-F09-C01,M-F09-C01_081604_001108.eaf,081604,1
M-F09-C01,M-F09-C01_100553_020057.eaf,100553,2
M-F09-C01,M-F09-C01_114729_034233.eaf,114729,3
M-F09-C01,M-F09-C01_123854_043358.eaf,123854,4
M-F09-C01,M-F09-C01_134258_053802.eaf,134258,5
M-F09-C01,M-F09-C01_135848_055352.eaf,135848,6
M-F09-C01,M-F09-C01_140658_060202.eaf,140658,7
M-F09-C01,M-F09-C01_142428_061932.eaf,142428,8
M-F09-C01,M-F09-C01_143536_063040.eaf,143536,9
M-F09-C02,M-F09-C02_004149_001840.eaf,004149,1
M-F09-C02,M-F09-C02_013047_010738.eaf,013047,2
M-F09-C02,M-F09-C02_021351_015042.eaf,021351,3
M-F09-C02,M-F09-C02_040016_033707.eaf,040016,4
M-F09-C02,M-F09-C02_050700_044351.eaf,050700,5
M-F09-C02,M-F09-C02_052047_045738.eaf,052047,6
M-F09-C02,M-F09-C02_074000_071651.eaf,074000,7
M-F09-C02,M-F09-C02_085002_082653.eaf,085002,8
M-F09-C02,M-F09-C02_091913_085604.eaf,091913,9
M-F10-C01-rec1,M-F10-C01-rec1_084246_002753.eaf,084246,1
M-F10-C01-rec1,M-F10-C01-rec1_090508_005015.eaf,090508,2
M-F10-C01-rec1,M-F10-C01-rec1_091045_005552.eaf,091045,3
M-F10-C01-rec1,M-F10-C01-rec1_092155_010702.eaf,092155,4
M-F10-C01-rec1,M-F10-C01-rec1_094324_012831.eaf,094324,5
M-F10-C01-rec1,M-F10-C01-rec1_095612_014119.eaf,095612,6
M-F10-C01-rec1,M-F10-C01-rec1_100454_015001.eaf,100454,7
M-F10-C01-rec1,M-F10-C01-rec1_103605_022112.eaf,103605,8
M-F10-C01-rec1,M-F10-C01-rec1_110444_024951.eaf,110444,9
M-F10-C01-rec2,M-F10-C01-rec2_081256_005251.eaf,081256,1
M-F10-C01-rec2,M-F10-C01-rec2_081909_005904.eaf,081909,2
M-F10-C01-rec2,M-F10-C01-rec2_100409_024404.eaf,100409,3
M-F10-C01-rec2,M-F10-C01-rec2_101328_025323.eaf,101328,4
M-F10-C01-rec2,M-F10-C01-rec2_124749_052744.eaf,124749,5
M-F10-C01-rec2,M-F10-C01-rec2_132814_060809.eaf,132814,6
M-F10-C01-rec2,M-F10-C01-rec2_140142_064137.eaf,140142,7
M-F10-C01-rec2,M-F10-C01-rec2_145808_073803.eaf,145808,8
M-F10-C01-rec2,M-F10-C01-rec2_164330_092325.eaf,164330,9
M-F11-C01-rec2,M-F11-C01-rec2_random-1_001930.eaf,001930,1
M-F11-C01-rec2,M-F11-C01-rec2_random-2_002652.eaf,002652,2
M-F11-C01-rec2,M-F11-C01-rec2_random-3_024604.eaf,024604,3
M-F11-C01-rec2,M-F11-C01-rec2_random-4_034508.eaf,034508,4
M-F11-C01-rec2,M-F11-C01-rec2_random-5_043258.eaf,043258,5
M-F11-C01-rec2,M-F11-C01-rec2_random-6_054726.eaf,054726,6
M-F11-C01-rec2,M-F11-C01-rec2_random-7_055927.eaf,055927,7
M-F11-C01-rec2,M-F11-C01-rec2_random-8_061016.eaf,061016,8
M-F11-C01-rec2,M-F11-C01-rec2_random-9_062350.eaf,062350,9
M-F12-C01-rec2,M-F12-C01-rec2_101134_015140.eaf,101134,1
M-F12-C01-rec2,M-F12-C01-rec2_110918_024924.eaf,110918,2
M-F12-C01-rec2,M-F12-C01-rec2_122946_040952.eaf,122946,3
M-F12-C01-rec2,M-F12-C01-rec2_130624_044630.eaf,130624,4
M-F12-C01-rec2,M-F12-C01-rec2_133346_051352.eaf,133346,5
M-F12-C01-rec2,M-F12-C01-rec2_151623_065629.eaf,151623,6
M-F12-C01-rec2,M-F12-C01-rec2_154542_072548.eaf,154542,7
M-F12-C01-rec2,M-F12-C01-rec2_164738_082744.eaf,164738,8
M-F12-C01-rec2,M-F12-C01-rec2_170818_084824.eaf,170818,9
M-F14-C01,M-F14-C01_082812_001619.eaf,082812,1
M-F14-C01,M-F14-C01_091348_010155.eaf,091348,2
M-F14-C01,M-F14-C01_095349_014156.eaf,095349,3
M-F14-C01,M-F14-C01_100305_015112.eaf,100305,4
M-F14-C01,M-F14-C01_111832_030639.eaf,111832,5
M-F14-C01,M-F14-C01_115720_034527.eaf,115720,6
M-F14-C01,M-F14-C01_123106_041913.eaf,123106,7
M-F14-C01,M-F14-C01_132519_051326.eaf,132519,8
M-F14-C01,M-F14-C01_154658_073505.eaf,154658,9
M-F14-C02,M-F14-C02_095452_013049.eaf,095452,1
M-F14-C02,M-F14-C02_101148_014745.eaf,101148,2
M-F14-C02,M-F14-C02_102247_015844.eaf,102247,3
M-F14-C02,M-F14-C02_130819_044416.eaf,130819,4
M-F14-C02,M-F14-C02_133908_051505.eaf,133908,5
M-F14-C02,M-F14-C02_134545_052142.eaf,134545,6
M-F14-C02,M-F14-C02_144608_062205.eaf,144608,7
M-F14-C02,M-F14-C02_145236_062833.eaf,145236,8
M-F14-C02,M-F14-C02_161703_075300.eaf,161703,9
M-F15-C01,M-F15-C01_105035_012751.eaf,105035,1
M-F15-C01,M-F15-C01_111852_015608.eaf,111852,2
M-F15-C01,M-F15-C01_130953_034709.eaf,130953,3
M-F15-C01,M-F15-C01_141607_045323.eaf,141607,4
M-F15-C01,M-F15-C01_143135_050851.eaf,143135,5
M-F15-C01,M-F15-C01_150644_054400.eaf,150644,6
M-F15-C01,M-F15-C01_153435_061151.eaf,153435,7
M-F15-C01,M-F15-C01_155112_062828.eaf,155112,8
M-F15-C01,M-F15-C01_164830_072546.eaf,164830,9
M-F16-C01,M-F16-C01_091359_004507.eaf,091359,1
M-F16-C01,M-F16-C01_110355_023503.eaf,110355,2
M-F16-C01,M-F16-C01_122305_035413.eaf,122305,3
M-F16-C01,M-F16-C01_131405_044513.eaf,131405,4
M-F16-C01,M-F16-C01_133127_050235.eaf,133127,5
M-F16-C01,M-F16-C01_134200_051308.eaf,134200,6
M-F16-C01,M-F16-C01_135911_053019.eaf,135911,7
M-F16-C01,M-F16-C01_151214_064322.eaf,151214,8
M-F16-C01,M-F16-C01_154747_071855.eaf,154747,9
M-F16-C02,M-F16-C02_091425_003111.eaf,091425,1
M-F16-C02,M-F16-C02_104232_015918.eaf,104232,2
